2024-06-24 14:41:07,319 INFO    MainThread:4293 [wandb_setup.py:_flush():76] Current SDK version is 0.17.2
2024-06-24 14:41:07,320 INFO    MainThread:4293 [wandb_setup.py:_flush():76] Configure stats pid to 4293
2024-06-24 14:41:07,320 INFO    MainThread:4293 [wandb_setup.py:_flush():76] Loading settings from /home/walln/.config/wandb/settings
2024-06-24 14:41:07,320 INFO    MainThread:4293 [wandb_setup.py:_flush():76] Loading settings from /home/walln/dev/projects/scratch/wandb/settings
2024-06-24 14:41:07,320 INFO    MainThread:4293 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-24 14:41:07,320 INFO    MainThread:4293 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-24 14:41:07,320 INFO    MainThread:4293 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/scratch/image_classification/cnn.py', 'program_abspath': '/home/walln/dev/projects/scratch/src/scratch/image_classification/cnn.py', 'program': '/home/walln/dev/projects/scratch/src/scratch/image_classification/cnn.py'}
2024-06-24 14:41:07,320 INFO    MainThread:4293 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-24 14:41:07,320 INFO    MainThread:4293 [wandb_init.py:_log_setup():520] Logging user logs to /home/walln/dev/projects/scratch/wandb/run-20240624_144107-l8c02jik/logs/debug.log
2024-06-24 14:41:07,320 INFO    MainThread:4293 [wandb_init.py:_log_setup():521] Logging internal logs to /home/walln/dev/projects/scratch/wandb/run-20240624_144107-l8c02jik/logs/debug-internal.log
2024-06-24 14:41:07,320 INFO    MainThread:4293 [wandb_init.py:init():560] calling init triggers
2024-06-24 14:41:07,321 INFO    MainThread:4293 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'model': {'num_classes': 10, 'input_shape': (28, 28, 1)}, 'trainer': {'console': <console width=154 ColorSystem.TRUECOLOR>, 'checkpoint_path': '/home/walln/dev/projects/scratch/checkpoints/nnx-cnn/mnist', 'save_checkpoint': False, 'resume_checkpoint': False, 'epochs': 1, 'batch_size': 64, 'learning_rate': 0.005, 'momentum': 0.9}}
2024-06-24 14:41:07,321 INFO    MainThread:4293 [wandb_init.py:init():610] starting backend
2024-06-24 14:41:07,321 INFO    MainThread:4293 [wandb_init.py:init():614] setting up manager
2024-06-24 14:41:07,323 INFO    MainThread:4293 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-24 14:41:07,329 INFO    MainThread:4293 [wandb_init.py:init():622] backend started and connected
2024-06-24 14:41:07,332 INFO    MainThread:4293 [wandb_init.py:init():711] updated telemetry
2024-06-24 14:41:07,336 INFO    MainThread:4293 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-24 14:41:07,621 INFO    MainThread:4293 [wandb_run.py:_on_init():2402] communicating current version
2024-06-24 14:41:07,707 INFO    MainThread:4293 [wandb_run.py:_on_init():2411] got version response 
2024-06-24 14:41:07,707 INFO    MainThread:4293 [wandb_init.py:init():795] starting run threads in backend
2024-06-24 14:41:08,030 INFO    MainThread:4293 [wandb_run.py:_console_start():2380] atexit reg
2024-06-24 14:41:08,030 INFO    MainThread:4293 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-24 14:41:08,030 INFO    MainThread:4293 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-24 14:41:08,030 INFO    MainThread:4293 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-24 14:41:08,033 INFO    MainThread:4293 [wandb_init.py:init():838] run started, returning control to user process
2024-06-24 14:41:39,384 WARNING MsgRouterThr:4293 [router.py:message_loop():77] message_loop has been closed
